"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-01","7.83",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0","T,,W,2400",,,"19",",,W","7",",,W",,,"  300",",,W","  300",",,W","15.0",",,W","25.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-02","8.05",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"26",",,W","13",",,W",,,"  260",",,W","  250",",,W","16.1",",,W","28.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-03","3.13",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0","T,,W,2400",,,"30",",,W","16",",,W",,,"  260",",,W","  270",",,W","14.1",",,W","21.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-04","12.53",",,W",,,"0.76",",,W,2400","9.8",",,W,2400","1.2",",,W,2400",,,"29",",,W","19",",,W",,,"  310",",,W","  310",",,W","23.9",",,W","42.9",",,W","    1",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-05","12.97",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","7.1",",,W,2400",,,"19",",,W","9",",,W",,,"  280",",,W","  280",",,W","21.0",",,W","35.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-06","10.96",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","5.9",",,W,2400",,,"13",",,W","6",",,W",,,"  310",",,W","  310",",,W","19.9",",,W","31.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-07","6.49",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","5.9",",,W,2400",,,"18",",,W","5",",,W",,,"  250",",,W","  250",",,W","16.1",",,W","28.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-08","5.82",",,W",,,"0.01",",,W,2400","0.0","T,,W,2400","5.1",",,W,2400",,,"31",",,W","17",",,W",,,"  250",",,W","  240",",,W","15.0",",,W","27.1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-09","6.71",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","5.1",",,W,2400",,,"44",",,W","30",",,W",,,"  310",",,W","  330",",,W","15.0",",,W","27.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-10","4.25",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","3.9",",,W,2400",,,"43",",,W","30",",,W",,,"  150",",,W","  180",",,W","10.1",",,W","14.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-11","3.13",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","3.1",",,W,2400",,,"53",",,W","41",",,W",,,"  160",",,W","  170",",,W","12.1",",,W","19.0",",,W","    1",",,W",,,,,,,,,"    1",",,W"
